"Private debt, all instruments (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,123.7090884,124.4877857,129.5411602,129.9059928,136.5750211,143.6230375,146.0355969,146.5854677,150.8971912,148.7053963,153.4161173,152.4618369,157.1241434,159.0253876,160.1098582,164.5054387,162.5799749,162.8065128,167.6896868,163.1236265,162.002537,163.3098253,163.3956191,164.8976664,162.5938695,174.024111,176.0242167,160.530742,no data
Belgium,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,151.5566467,158.1931979,172.3289454,162.3976159,176.6545731,186.719888,192.6846842,191.301634,195.9810598,199.5637625,198.4254105,202.8092517,213.9883796,236.5452974,245.0648535,232.3044583,244.0672132,248.1280482,247.8096543,247.7144669,247.9100628,272.0586442,257.7519964,259.3315415,255.2669843,264.0542109,252.0338443,243.0758696,228.4893167
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,103.3920803,103.8893892,110.2174485,115.9094917,116.9056674,123.9650788,132.8488927,124.7411045,76.73760709,80.36251697,84.65328332,94.40264708,92.06490532,no data,no data
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.8685788,131.8160391,55.95733624,56.47573144,77.54522074,92.18990445,91.46734236,102.2328053,121.4053934,135.9617393,154.9976136,179.2178753,214.502714,242.5664491,252.3384849,259.9613322,247.2391326,241.0370081,243.2263518,248.578428,223.121366,215.1722151,201.7032679,198.7269757,196.3739796,200.9460761,188.9661114,175.4919236,171.6214148
Canada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,165.2193167,172.2676706,174.8528749,177.8357698,175.8226301,175.4913596,176.3343855,180.4308179,190.1020469,186.0917507,180.4488139,187.6097272,191.0799585,188.1420717,186.8334268,182.1511828,185.7266852,203.5198309,216.275759,231.9051201,229.412838,229.3105713,236.1331895,236.5428359,242.1147347,257.9124425,266.9970156,269.0357234,272.7553423,278.1930295,305.438799,285.5385295,267.9654312,269.1200288
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,180.1142638,172.3530487,167.0009463,154.6703778,154.114675,172.7985877,160.5595037,156.3261722,166.8840012,176.1612348,183.1752642,198.0852146,208.5900631,205.5057306,200.7580229,198.1656938,218.0781657,217.291815,206.7166149,205.343203,199.9411823
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,101.8868219,103.790148,99.7222595,102.84983,103.2905521,114.7988189,110.6826881,102.5753112,95.14331862
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.93544997,66.98967154,82.52499872,101.0115547,118.8480536,114.7474747,125.8598058,138.1988126,149.9589349,155.9843081,164.4922771,176.5419472,187.9003304,206.737068,222.0415544,230.1725925,227.6748054,227.2274813,224.6999042,224.9220634,215.2801462,210.0004198,201.6888639,195.3596793,193.7410879,214.6636719,195.1840272,188.2280073,174.0733863
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,366.4639308,367.5255342,371.0750711,367.9374821,361.0080666,360.7692308,328.9080223,333.8999747,313.5700495,296.2393101,323.8073713,328.0191999,346.2867259,375.5944365,395.1433697,404.7541236,418.1230833,428.6084338,452.1327251,460.3044135,460.6091173,438.7057753,412.8833269,386.7585997,370.4504761,380.1097493,347.5595226,309.2100384,290.5841542
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,137.6138583,136.4635469,144.5740894,140.2461358,139.1864242,139.6471226,126.1466198,129.4712524,126.4648028,121.4536866,124.1388989,126.3340407,130.6169455,127.9743925,141.3483952,142.3128765,148.7460061,150.0202021,153.8458162,149.9296138,145.2716607,149.466904,147.2281818,145.0610535,134.783742,138.4227491,135.8024685,138.0767197,no data
Denmark,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,184.0119794,159.9704904,168.3732743,175.4786208,172.6802158,185.5656014,194.932288,201.1076481,202.1501544,207.5458703,215.1511518,231.543024,250.8951237,266.5607661,281.9221858,298.8117581,289.4618886,293.1709594,286.9338034,276.7867217,281.5316357,289.372113,294.1152622,288.4892553,288.0217085,299.7472258,288.2256865,268.2854006,258.0897523,262.2925166
