"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.215471245,2.786504995,3.684812752,3.852333438,3.696618071,2.568539987,2.216735305,2.062546527,2.447827523,2.656655966,2.787339813,2.4174255,2.250316084,no data,2.666052615,3.800424408,4.802767661,7.82286546,12.41817179,11.83211829,14.09523154,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.764250702,7.479401453,8.847823234,10.1315606,11.38699982,4.796746452,4.047370777,4.123996033,3.637246362,3.702463346,3.373760337,3.337243307,3.135159844,2.821017933,2.569163406,no data,no data,no data
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.518591196,11.95454371,17.70844773,24.15325573,32.03634912,39.29557518,41.10718997,41.91283198,46.98000787,47.63299868,46.93994894,47.04211956,44.53994304,43.17974307,40.76613941,36.65512883,37.28213937,41.17792084,39.19721865,35.51786446,33.67769959
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.991542845,8.826899677,7.401802604,8.732207116,9.124227243,8.559758618,10.30957591,14.22563028,12.52485518,13.01916159,12.72056175,12.44904372,12.95023352,12.33955126,14.92768493,13.91983912,12.610022,12.27541039,14.86914465,16.04700582,18.82422193,19.83577344,21.42545372,21.93418901,22.3475625,25.15434264,21.82684222,17.56565019,no data
Argentina,66.64647606,63.24190657,67.33506377,67.4134341,72.98278761,73.80114885,69.8482571,66.21671339,61.55041884,39.05331217,40.50622588,42.5027736,35.98569653,34.33515845,33.46155714,28.11646895,29.10711736,29.88901502,36.80116258,41.43511523,44.03377249,41.49642963,39.51629048,39.05029495,44.98564946,38.22002437,34.88502858,46.64182865,51.96989418,60.606653,62.53746528,65.66642292,67.10187141,47.73501852,38.33967472,30.98034857,30.899638,37.315294,32.2672117,70.98655013,18.25045101,17.13156129,19.17324048,22.5176559,24.20521478,24.75437419,25.62833103,28.67031429,30.9991672,31.08846969,28.49735937,38.20247595,61.06357425,41.69320719,35.11745069,29.25051161,26.9016308,25.1232661,23.17039243,22.72390202,21.06802294,21.05738999,22.02552285,22.75739463,19.64926556,21.44487299,20.75300368,24.89486824,28.98000301,28.28375729,29.93326357,22.8799312,21.92434285,34.90491413
Australia,no data,no data,no data,52.78696315,56.93010542,61.55301345,57.47125395,56.42504792,56.96676051,51.73726712,54.41539384,56.03482209,54.22630136,54.31054476,54.82436797,58.43693422,60.47396525,62.42092119,64.49203284,63.53468493,62.54146178,61.91189636,62.83101717,67.33418622,72.53284684,71.83059265,71.1292442,69.94749786,73.0213928,74.59903969,77.30700683,80.0167749,83.93742717,87.52455533,88.29296239,95.18027299,106.7410211,112.5098363,117.9590408,119.4422536,120.9810282,120.2618554,117.738553,112.2132635,112.9143865,114.1512829,115.8737035,121.2794549,126.5426294,131.8296167,138.8938588,139.25314,145.0897354,152.6565178,158.7180726,169.1280528,178.5346688,187.4221869,188.0357073,186.3617424,177.9216363,173.3450839,175.4564661,181.3728825,186.7556753,197.0610219,198.740295,193.9278927,193.5343689,189.305754,191.349458,180.6248181,170.4483744,169.9448505
Austria,18.32033781,18.3037503,16.40164765,18.71455734,21.89714982,23.35907308,23.83871828,24.83815744,26.71942905,28.81856805,30.83114985,32.31086706,33.36514007,34.52188782,36.75783905,39.97319479,42.57449814,43.6507506,45.08086195,48.11070956,50.04654886,53.23250442,56.38652771,55.21451642,55.52718273,59.19172554,65.21788134,67.71869485,73.78815387,78.73860511,82.72653765,86.49293343,85.57854975,83.67848415,86.28936091,87.59917121,89.26760691,91.86642861,94.0717955,97.41797692,100.9636625,102.5952072,104.3654724,105.1697143,104.7748001,106.4668472,108.6387262,113.7169769,114.2377816,120.7487248,127.8360573,129.4007482,129.1603028,131.0004852,129.9344786,133.7687691,136.0940228,140.2664995,142.4643563,145.0253624,147.4200785,145.2339449,143.4688694,146.4906014,141.9488327,141.6847218,142.0267444,141.5676987,141.8792491,141.4412591,151.9381257,152.7376028,140.9173358,134.5079555
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.26304923,11.77443035,2.16216996,1.45496697,2.018226521,2.200692064,3.127621549,3.661808605,7.052269002,6.324391801,7.063051386,7.899154687,12.99289417,14.21235093,14.83528537,16.30577,18.85956089,22.12900699,20.41460496,19.13945589,21.18125082,28.49783947,34.05652451,45.76090388,43.68974885,34.54494881,33.13160162,34.46107956,40.16882962,33.24975453,24.79605019,no data
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.50283873,9.473998141,10.71279398,15.17936692,19.33546259,19.59512513,27.71107814,33.57520291,37.0446509,43.42873208,54.58208893,59.71137838,51.22048414,45.55246644,46.78461208,47.59574464,47.38563206,50.35817357,54.77043089,55.66547963,55.14711623,66.66996962,54.14471882,43.24907499,40.68131408,37.68738783,46.32944671,49.00191456,53.90242473,56.26611307,55.05843112,53.39167837,56.6773561,60.21511152,59.22543157,54.41563437,62.5531274,54.88887661,51.95304603,55.24033248,54.32801391,60.26206916,70.7242031,75.75316791,85.23598968,83.65580388,80.51155654,79.5041622,81.95872117,75.19848073,86.13418762,81.55768782,81.66681564,86.45806541,88.67957096,104.3700571,98.76745138,87.87655328,no data
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.754136275,1.358220669,2.061323557,3.277953421,3.200949366,3.709710611,4.218952962,5.0883903,5.368455502,6.767429898,8.863489157,9.825492846,9.617866555,9.998929472,10.92401886,12.11082203,12.17556506,11.637748,10.6330549,11.18041146,11.89453201,15.26493589,15.78744035,16.68453727,17.11028155,17.26266127,17.94149862,19.91758659,21.59122632,21.44894255,23.00325229,24.23407607,25.71466153,26.43920677,28.02917568,29.77364961,33.49438921,34.67894297,35.10688045,34.03751035,35.72738209,36.32359891,37.15370449,39.52696868,39.29559859,38.37858125,38.44018807,38.2671638,38.17774602,36.91534262
